zone_id,hour,demand_kwh,served_fraction,allocated_kwh,zone_name,category,criticality_score,effective_need
Z001,0,60.84,0,0,Hospital_1,hospital,10,0
Z001,1,57.16,0,0,Hospital_1,hospital,10,0
Z001,2,62.48,0,0,Hospital_1,hospital,10,0
Z001,3,55.85,0,0,Hospital_1,hospital,10,0
Z001,4,55.78,0.7255405314947453,40.47065084677689,Hospital_1,hospital,10,0
Z001,5,55.13,0.7147758152173914,39.405590692934794,Hospital_1,hospital,10,0
Z001,6,50.13,0.7010365724005955,35.142963374441855,Hospital_1,hospital,10,0
Z001,7,51.52,0.7061620912667902,36.381470942065036,Hospital_1,hospital,10,0
Z001,8,55.82,0.6555531640120534,36.592977615152826,Hospital_1,hospital,10,0
Z001,9,50.51,0.6528769424611509,32.976814363712734,Hospital_1,hospital,10,0
Z001,10,52.62,0.6486106052880765,34.12989005025858,Hospital_1,hospital,10,0
Z001,11,52.42,0.6590038036587574,34.54497938779207,Hospital_1,hospital,10,0
Z001,12,55.02,0.6943208065994501,38.201530779101745,Hospital_1,hospital,10,0
Z001,13,52.6,0.6936556765951287,36.48628858890377,Hospital_1,hospital,10,0
Z001,14,54.03,0.7119654885340195,38.46749534549308,Hospital_1,hospital,10,0
Z001,15,56.08,0.7130024107813303,39.985175196617,Hospital_1,hospital,10,0
Z001,16,56.32,0.6208608925711899,34.966885469609416,Hospital_1,hospital,10,0
Z001,17,53.63,0.6231767281602182,33.420967931232504,Hospital_1,hospital,10,0
Z001,18,60.09,0.6193158919362001,37.214691946446266,Hospital_1,hospital,10,0
Z001,19,52.85,0.62406611878969,32.981894378035115,Hospital_1,hospital,10,0
Z001,20,53.28,0,0,Hospital_1,hospital,10,0
Z001,21,52.91,0,0,Hospital_1,hospital,10,0
Z001,22,60.34,0,0,Hospital_1,hospital,10,0
Z001,23,55.34,0,0,Hospital_1,hospital,10,0
Z001,24,52.71,0.7210853258321613,38.008407524613226,Hospital_1,hospital,10,0
Z001,25,51.51,0.7281435720988426,37.50667539881138,Hospital_1,hospital,10,0
Z001,26,55.91,0.7347820984273532,41.081667123073316,Hospital_1,hospital,10,0
Z001,27,50.38,0.7290462316951621,36.72934915280227,Hospital_1,hospital,10,0
Z001,28,49.03,0.6440061604224291,31.5756220455117,Hospital_1,hospital,10,0
Z001,29,54.42,0.6543257639472947,35.60840807401178,Hospital_1,hospital,10,0
Z001,30,48.29,0.6582113381803892,31.785025520730997,Hospital_1,hospital,10,0
Z001,31,50.74,0.6508767881864328,33.025488232579605,Hospital_1,hospital,10,0
Z001,32,51.62,0.6898721608539159,35.61120094327914,Hospital_1,hospital,10,0
Z001,33,50.36,0.6883473389355742,34.665171988795514,Hospital_1,hospital,10,0
Z001,34,51.86,0.6884305162102613,35.70200657066415,Hospital_1,hospital,10,0
Z001,35,56.7,0.689311064718163,39.08393736951984,Hospital_1,hospital,10,0
Z001,36,51.44,0.6341853790308967,32.622495897349324,Hospital_1,hospital,10,0
Z001,37,49.72,0.6271002024291499,31.17942206477733,Hospital_1,hospital,10,0
Z001,38,48.52,0.6259676864902028,30.371952148504644,Hospital_1,hospital,10,0
Z001,39,54.6,0.6200573892963869,33.855133455582724,Hospital_1,hospital,10,0
Z001,40,54.79,0,0,Hospital_1,hospital,10,0
Z001,41,57.47,0,0,Hospital_1,hospital,10,0
Z001,42,55.44,0,0,Hospital_1,hospital,10,0
Z001,43,55.67,0,0,Hospital_1,hospital,10,0
Z001,44,54.93,0.6811800100284139,37.417217950860774,Hospital_1,hospital,10,0
Z001,45,55.53,0.6980552712384852,38.76300921187308,Hospital_1,hospital,10,0
Z001,46,57.58,0.6961896451425248,40.08659976730657,Hospital_1,hospital,10,0
Z001,47,55.28,0.6903706859821049,38.16369152109076,Hospital_1,hospital,10,0
Z002,0,36.53,0.8784550283604935,32.089962186008826,Hospital_2,hospital,10,193.3
Z002,1,39.95,0.8751701314440199,34.9630467511886,Hospital_2,hospital,10,227.50000000000003
Z002,2,36.39,0.8933954582466299,32.51066072559486,Hospital_2,hospital,10,191.9
Z002,3,31.59,0.8659060342508743,27.35397162198512,Hospital_2,hospital,10,143.9
Z002,4,38.02,0,0,Hospital_2,hospital,10,208.20000000000005
Z002,5,34.76,0,0,Hospital_2,hospital,10,175.6
Z002,6,31.85,0,0,Hospital_2,hospital,10,146.50000000000003
Z002,7,35.39,0,0,Hospital_2,hospital,10,181.9
Z002,8,33.54,0.6555531640120534,21.987253120964272,Hospital_2,hospital,10,163.4
Z002,9,32.33,0.6528769424611509,21.107511549769008,Hospital_2,hospital,10,151.29999999999998
Z002,10,32.47,0.6486106052880765,21.06038635370384,Hospital_2,hospital,10,152.7
Z002,11,32.02,0.6590038036587574,21.101301793153414,Hospital_2,hospital,10,148.20000000000005
Z002,12,34.54,0.6943208065994501,23.981840659945004,Hospital_2,hospital,10,173.4
Z002,13,37.13,0.6936556765951287,25.75543527197713,Hospital_2,hospital,10,199.30000000000004
Z002,14,34.69,0.7119654885340195,24.698082797245135,Hospital_2,hospital,10,174.89999999999998
Z002,15,36.77,0.7130024107813303,26.217098644429516,Hospital_2,hospital,10,195.70000000000005
Z002,16,40.4,0.6208608925711899,25.08278005987607,Hospital_2,hospital,10,232
Z002,17,34.03,0.6231767281602182,21.206704059292225,Hospital_2,hospital,10,168.3
Z002,18,37.57,0.6193158919362001,23.26769806004304,Hospital_2,hospital,10,203.70000000000002
Z002,19,36.5,0.62406611878969,22.778413335823686,Hospital_2,hospital,10,193
Z002,20,34.88,0.7434156925256818,25.930339355295786,Hospital_2,hospital,10,176.80000000000004
Z002,21,34.9,0.7596420145655965,26.511506308339317,Hospital_2,hospital,10,177
Z002,22,36.96,0.7974670658682635,29.47438275449102,Hospital_2,hospital,10,197.60000000000002
Z002,23,37.65,0.7967130995676938,29.99624819872367,Hospital_2,hospital,10,204.5
Z002,24,35.15,0,0,Hospital_2,hospital,10,179.5
Z002,25,35.98,0,0,Hospital_2,hospital,10,187.79999999999998
Z002,26,36.91,0,0,Hospital_2,hospital,10,197.09999999999997
Z002,27,35.51,0,0,Hospital_2,hospital,10,183.1
Z002,28,36.23,0.6440061604224291,23.332343192104602,Hospital_2,hospital,10,190.29999999999998
Z002,29,34.99,0.6543257639472947,22.894858480515843,Hospital_2,hospital,10,177.90000000000003
Z002,30,34.74,0.6582113381803892,22.866261888386724,Hospital_2,hospital,10,175.40000000000003
Z002,31,37.25,0.6508767881864328,24.24516035994462,Hospital_2,hospital,10,200.5
Z002,32,34.76,0.6898721608539159,23.979956311282116,Hospital_2,hospital,10,175.6
Z002,33,33.83,0.6883473389355742,23.286790476190475,Hospital_2,hospital,10,166.29999999999998
Z002,34,35.19,0.6884305162102613,24.225869865439094,Hospital_2,hospital,10,179.89999999999998
Z002,35,32.17,0.689311064718163,22.175136951983305,Hospital_2,hospital,10,149.70000000000002
Z002,36,33.74,0.6341853790308967,21.397414688502455,Hospital_2,hospital,10,165.40000000000003
Z002,37,36.55,0.6271002024291499,22.920512398785426,Hospital_2,hospital,10,193.49999999999997
Z002,38,36.71,0.6259676864902028,22.979273771055347,Hospital_2,hospital,10,195.10000000000002
Z002,39,39.19,0.6200573892963869,24.3000490865254,Hospital_2,hospital,10,219.89999999999998
Z002,40,36.33,0.7539786604962078,27.392044735827227,Hospital_2,hospital,10,191.29999999999998
Z002,41,33.48,0.7636275731660149,25.566251149598177,Hospital_2,hospital,10,162.79999999999998
Z002,42,41.32,0.7464056509418237,30.841481496916153,Hospital_2,hospital,10,241.20000000000002
Z002,43,39.62,0.7412716810862277,29.369184004636338,Hospital_2,hospital,10,224.2
Z002,44,34.88,0,0,Hospital_2,hospital,10,176.80000000000004
Z002,45,40.25,0,0,Hospital_2,hospital,10,230.5
Z002,46,37.07,0,0,Hospital_2,hospital,10,198.70000000000002
Z002,47,32.71,0,0,Hospital_2,hospital,10,155.10000000000002
Z003,0,19.95,0.8784550283604935,17.525177815791846,ColdStorage_WaterPump_1,cold_storage_water,7,139.65
Z003,1,17.89,0.8751701314440199,15.656793651533516,ColdStorage_WaterPump_1,cold_storage_water,7,125.23
Z003,2,19.86,0.8933954582466299,17.74283380077807,ColdStorage_WaterPump_1,cold_storage_water,7,139.01999999999998
Z003,3,17.27,0.8659060342508743,14.954197211512598,ColdStorage_WaterPump_1,cold_storage_water,7,120.89
Z003,4,17.86,0.7255405314947453,12.958153892496151,ColdStorage_WaterPump_1,cold_storage_water,7,125.02
Z003,5,17.83,0.7147758152173914,12.744452785326088,ColdStorage_WaterPump_1,cold_storage_water,7,124.80999999999999
Z003,6,17.72,0.7010365724005955,12.422368062938551,ColdStorage_WaterPump_1,cold_storage_water,7,124.03999999999999
Z003,7,17.14,0.7061620912667902,12.103618244312784,ColdStorage_WaterPump_1,cold_storage_water,7,119.98
Z003,8,18.37,0,0,ColdStorage_WaterPump_1,cold_storage_water,7,128.59
Z003,9,19.31,0,0,ColdStorage_WaterPump_1,cold_storage_water,7,135.17
Z003,10,18.81,0,0,ColdStorage_WaterPump_1,cold_storage_water,7,131.67
Z003,11,17.43,0,0,ColdStorage_WaterPump_1,cold_storage_water,7,122.00999999999999
Z003,12,19.05,0.6943208065994501,13.226811365719524,ColdStorage_WaterPump_1,cold_storage_water,7,133.35
Z003,13,22.64,0.6936556765951287,15.704364518113715,ColdStorage_WaterPump_1,cold_storage_water,7,158.48000000000002
Z003,14,23.32,0.7119654885340195,16.603035192613337,ColdStorage_WaterPump_1,cold_storage_water,7,163.24
Z003,15,24.93,0.7130024107813303,17.775150100778564,ColdStorage_WaterPump_1,cold_storage_water,7,174.51
Z003,16,23.29,0.6208608925711899,14.459850187983013,ColdStorage_WaterPump_1,cold_storage_water,7,163.03
Z003,17,28.94,0.6231767281602182,18.034734512956714,ColdStorage_WaterPump_1,cold_storage_water,7,202.58
Z003,18,27.33,0.6193158919362001,16.925903326616346,ColdStorage_WaterPump_1,cold_storage_water,7,191.31
Z003,19,24.39,0.62406611878969,15.22097263728054,ColdStorage_WaterPump_1,cold_storage_water,7,170.73000000000002
Z003,20,27.32,0.7434156925256818,20.310116719801627,ColdStorage_WaterPump_1,cold_storage_water,7,191.24
Z003,21,27.99,0.7596420145655965,21.262379987691045,ColdStorage_WaterPump_1,cold_storage_water,7,195.92999999999998
Z003,22,20.86,0.7974670658682635,16.635162994011978,ColdStorage_WaterPump_1,cold_storage_water,7,146.01999999999998
Z003,23,21.74,0.7967130995676938,17.32054278460166,ColdStorage_WaterPump_1,cold_storage_water,7,152.17999999999998
Z003,24,19.99,0.7210853258321613,14.414495663384905,ColdStorage_WaterPump_1,cold_storage_water,7,139.92999999999998
Z003,25,19.17,0.7281435720988426,13.958512277134814,ColdStorage_WaterPump_1,cold_storage_water,7,134.19
Z003,26,18,0.7347820984273532,13.226077771692358,ColdStorage_WaterPump_1,cold_storage_water,7,126
